NOMBRE,BLOQUE,Coordenadas,LATS,LONGS
ANÁLISIS DE ALGORITMOS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
COMUNICACIÓN DIGITAL DE DATOS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
MODELADO Y SIMULACIÓN EN TERMOFLUIDOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
MECÁNICA DE SÓLIDOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
SISTEMAS DE RECOLECCIÓN Y DISTRIBUCIÓN DE AGUA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
HORMIGÓN ARMADO,13H,"-2.14592, -79.96581",-2.14592,-79.96581
INGENIERÍA DE CIMENTACIÓN,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DISEÑO DE PAVIMENTOS,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DISEÑO DE INTERFACES,14B,"-2.14361, -79.96212",-2.14361,-79.96212
HISTORIA CONTEMPORÁNEA DE AMÉRICA LATINA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
ELECTRÓNICA DE POTENCIA II,11A,"-2.14464, -79.96763",-2.14464,-79.96763
DOMÓTICA E INMÓTICA,11D,"-2.14542, -79.96613",-2.14542,-79.96613
INSTALACIONES,13H,"-2.14592, -79.96581",-2.14592,-79.96581
TÉCNICAS PICTÓRICAS,14B,"-2.14361, -79.96212",-2.14361,-79.96212
DISEÑO EDITORIAL,14B,"-2.14361, -79.96212",-2.14361,-79.96212
NUTRICIÓN DEPORTIVA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
MICROECONOMÍA II,9B,"-2.14715, -79.96725",-2.14715,-79.96725
MACROECONOMÍA II,9F,"-2.14717, -79.96779",-2.14717,-79.96779
MANTENIMIENTO INDUSTRIAL,12H,"-2.14423, -79.96633",-2.14423,-79.96633
DISEÑO DE SISTEMAS MECÁNICOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
FUNDAMENTOS DE PLANIFICACIÓN TURÍSTICA,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
PROCESOS DE MECANIZACIÓN,12C,"-2.14497, -79.96579",-2.14497,-79.96579
MECÁNICA DE MAQUINARIA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
DESARROLLO SOCIAL Y VOLUNTARIADO,9F,"-2.14717, -79.96779",-2.14717,-79.96779
SISTEMAS DE POTENCIA I,11D,"-2.14542, -79.96613",-2.14542,-79.96613
MÉTODOS DE ANALÍTICA PARA LA INDUSTRIA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
VIDEOGRAFÍA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
PROGRAMACIÓN DE SISTEMAS,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
CONTROL DE PROCESOS INDUSTRIALES,11D,"-2.14542, -79.96613",-2.14542,-79.96613
